,Date,Ticker,Url,headline,source,snippet
5,03-Oct-2022,MSFT,"https://seekingalpha.com/article/4544433-the-1-minute-market-report-october-2-2022"" ","The 1-Minute Market Report October 2, 2022",Seeking Alpha,"78% of all stocks in the S&amp;P 1500 Composite Index are now in a bear ... 
like Apple (AAPL), Microsoft (MSFT), Alphabet (GOOG)(GOOGL)) are by..."
6,02-Oct-2022,MSFT,"https://www.financialexpress.com/audio/expresso-business-update/business-news-at-1000-am-on-2nd-october-2022/2696982/"" ",Weekly Business News Roundup at 10:00 am on 2nd October 2022,The Financial Express,"Weekly Business News Roundup at 10:00 am on 2nd October 2022 ... Listen to 
the weekly round-up of news related to business, finance, and economy..."
7,26-Sept-2022,MSFT,"https://seekingalpha.com/article/4542823-activision-blizzard-you-wont-find-another-risk-reward-like-this"" ",Activision Blizzard: You Won't Find Another Risk/Reward Like ...,Seeking Alpha,"Regulators delve deeper into Microsoft-Activision deal investigation. ... 
Activision Blizzard is an amazing stock to buy in these markets,..."
8,29-Sept-2022,MSFT,"https://seekingalpha.com/article/4543687-apple-be-fearful"" ",Apple Stock: Be Fearful (NASDAQ:AAPL),Seeking Alpha,"But even quality companies can be bad investments when bought at the wrong 
price/valuation. Microsoft during the dot.com bubble is a great..."
9,30-Sept-2022,MSFT,"https://seekingalpha.com/article/4544034-spyg-etf-how-much-do-you-like-apple-microsoft-amazon"" ",SPYG Vs. VTI: Which ETF Is The Better One?,Seeking Alpha,"As a quick comparison, Apple, Microsoft, and Amazon also happen to be the 3 
largest holdings in Vanguard Total Stock Market ETF (VTI)."
0,03-Oct-2022,MSFT,"https://simplywall.st/stocks/us/software/nasdaq-msft/microsoft/news/the-two-sides-of-microsoft-strong-fundamentals-vs-insiders-s-1"" ","The Two Sides of Microsoft: Strong Fundamentals vs. Insiders' Selling 
Activity",Simply Wall St,"We analyzed the company to see if the decline is warranted for the $1.7t 
market cap stock and came up with some mixed results."
1,2 weeks ago,MSFT,"https://www.zawya.com/en/press-release/companies-news/dfm-launches-new-general-index-providing-global-best-practice-for-indices-and-greater-transparency-for-investors-vj65ukn5"" ",DFM launches new general index providing global best ...,ZAWYA,"... draft during a consultation period between 3rd and 17th of October 
2022. ... DFM became a public joint stock company and its shares were..."
2,03-Oct-2022,MSFT,"https://www.indmoney.com/articles/us-stocks/us-stock-market-today-3-oct-22"" ",What happened in US stocks today? Check top gainers and ...,INDmoney,"US Market today: Why did Tesla share price crash? Check top gainers and 
losers in the US markets. Mon Oct 03 2022. US stock market news today."
3,03-Oct-2022,MSFT,"https://www.zacks.com/stock/news/1987471/3-metaverse-stocks-to-keep-a-tab-on-in-october"" ",3 Metaverse Stocks to Keep a Tab on in October,Zacks,"3 Metaverse Stocks to Keep a Tab on in October. Tirthankar Chakraborty 
October 03, 2022. MSFT Quick Quote MSFT RBLX Quick Quote"
4,03-Oct-2022,MSFT,"https://www.moneycontrol.com/news/photos/business/stocks/stocks-to-watch-today-eicher-motors-bata-india-escorts-kubota-and-others-in-news-today-9267001.html"" ","Stocks to Watch Today | Suzlon, Eicher Motors, Bata India, Escorts Kubota, 
and others in news today",Moneycontrol,"Stocks to Watch: Check out the companies making headlines before the 
opening bell. Moneycontrol News. October 03, 2022 / 09:12 AM IST."
5,03-Oct-2022,MSFT,"https://www.moneycontrol.com/news/business/stocks/nykaa-shares-zoom-after-51-bonus-issue-announcement-9269061.html"" ",Nykaa shares zoom after 5:1 bonus issue announcement,Moneycontrol,"Moneycontrol.com advises users to check with certified experts before 
taking any investment decisions. Moneycontrol News. Tags: #bonus issue #..."
6,6 days ago,MSFT,"https://www.valuewalk.com/after-nixing-its-13-dividend-is-lumen-technologies-okay-to-own/"" ","After Nixing Its 13% Dividend, Is Lumen Technologies Okay ...",ValueWalk,"Lumen completed its $7.5 billion divestiture of its 20-state ILEC business 
to Apollo on Oct. 3, 2022. The Company eliminated its stock dividend..."
7,03-Oct-2022,MSFT,"https://www.moneycontrol.com/news/business/markets/share-market-live-updates-stock-market-today-october-3-latest-news-bse-nse-sensex-nifty-covid-coronavirus-apl-apollo-tubes-eicher-motors-ind-swift-lab-escorts-kubota-zydus-lifesciences-sml-isuzu-9267491.html"" ","Closing Bell: Nifty ends below 16,900, Sensex falls 638 pts; auto, power 
drag, pharma gains",Moneycontrol,"As a result, all the key sectors were pressured by selling, except pharma &amp; 
Oil stocks."
8,03-Oct-2022,MSFT,"https://www.benzinga.com/trading-ideas/movers/22/10/29123529/whats-going-on-with-microsoft-stock-today"" ",What's Going On With Microsoft Stock Today - Microsoft (NASDAQ:MSFT),Benzinga,"Shares of technology companies at large are trading higher as stocks 
rebound following recent weakness. A drop in treasury yields has also..."
9,30-Sept-2022,MSFT,"https://www.moneycontrol.com/news/business/ipo/business-in-the-week-ahead-october-3-7-2022-9257241.html"" ","Business in the Week Ahead (October 3-7, 2022)",Moneycontrol,"Electronics Mart India IPO will open for subscription. FSN E-Commerce 
Ventures will consider issuance of bonus shares. Export-imports, loan..."
0,1 month ago,MSFT,"https://www.financialexpress.com/life/technology/meet-sriram-krishnan-the-indian-origin-tech-exec-helping-out-musk-to-revamp-twitter/2762899/"" ","Meet Sriram Krishnan, the Indian-origin tech exec ‘helping out’ Musk to 
revamp Twitter",The Financial Express,"His latest one being, See Round- Lasso Labs on October 4, 2022, ... 
Krishnan moved to Seattle in the US to work with Microsoft in 2005 when..."
1,04-Oct-2022,MSFT,"https://seekingalpha.com/article/4544648-microsoft-a-stock-for-all-seasons"" ",Microsoft: A Stock For All Seasons (NASDAQ:MSFT),Seeking Alpha,"This space gives us time to see some good news favorably impact Microsoft's 
valuation equation. table. Gaming &amp; Commercial Remain Strong (..."
2,1 week ago,MSFT,"https://highschool.latimes.com/hs-insider/why-activision-blizzard-and-microsoft-are-depending-on-overwatch-2s-success/"" ","Opinion: Why Activision Blizzard and Microsoft are depending on Overwatch 
2’s success",HS Insider,"Once the news broke, many questioned the game's success as its most heavily 
marketed ... Finally, the game released on October 4th, 2022."
3,04-Oct-2022,MSFT,"https://www.hellenicshippingnews.com/stock-market-snapshot-for-4-10-2022/"" ",STOCK MARKET SNAPSHOT FOR 4/10/2022,Hellenic Shipping News Worldwide,"In a very counterintuitive fashion that likely represents good news for 
equity markets,” said Hogan. “(While) good economic data, strong..."
4,04-Oct-2022,MSFT,"https://seekingalpha.com/article/4544507-microsoft-stock-leveraging-software-expertise-industry-dominance"" ",Microsoft: Leveraging Software Expertise For Industry ...,Seeking Alpha,"Microsoft: Leveraging Software Expertise For Industry Dominance. Oct. 04, 
2022 2:52 AM ETMicrosoft Corporation (MSFT)NFLX6 Comments 10 Likes."
5,3 weeks ago,MSFT,"https://www1.cbn.com/cbnnews/cwn/2022/november/dr-michael-youssef-a-one-world-government-utopia-or-hell-on-earth"" ",DR. MICHAEL YOUSSEF: A One-World Government - Utopia ...,The Christian Broadcasting Network,"Microsoft's billionaire founder Bill Gates said he was disappointed ... 
receiving the latest news from a distinctly Christian perspective."
6,04-Oct-2022,MSFT,"https://www.moneycontrol.com/news/videos/business/markets/kec-international-dilip-buildcon-vedanta-ncc-top-stocks-to-watch-on-oct-04-2022-9272981.html"" ","KEC International, Dilip Buildcon, Vedanta &amp; NCC: Top Stocks To Watch On 
Oct 04, 2022",Moneycontrol,"KEC International, Dilip Buildcon, Vedanta &amp; NCC: Top Stocks To Watch On 
Oct 04, 2022 · These are the stocks that will possibly be in the spotlight 
during..."
7,04-Oct-2022,MSFT,"https://seekingalpha.com/news/3888608-ftc-decision-on-microsofts-activision-deal-may-come-by-late-november-report"" ",FTC decision on Microsoft's Activision deal may come by late ...,Seeking Alpha,"FTC decision on Microsoft's Activision deal may come by late November - 
report. Oct. 04, 2022 1:38 PM ETActivision Blizzard, Inc. (ATVI), MSFTSONY, 
GOOGLBy:..."
8,04-Oct-2022,MSFT,"https://seekingalpha.com/article/4544677-salesforce-why-microsoft-shareholders-should-watch-out"" ",Salesforce: Why Microsoft Shareholders Should Watch Out ...,Seeking Alpha,"Historically, salesforce has acquired companies using a mixture of stock 
and cash, obviously, with shares much lower than they were last year,..."
9,04-Oct-2022,MSFT,"https://www.moneycontrol.com/news/photos/business/stocks/gainers-losers-10-stocks-that-moved-the-most-on-october-4-2-9277251.html"" ",Gainers &amp; Losers: 10 stocks that moved the most on October 4,Moneycontrol,"Indian benchmark indices had their best run in five weeks, closing more 
than 2.2 percent higher on October 4 amid positive global cues and..."
0,1 week ago,MSFT,"https://www.analyticsinsight.net/google-layoffs-pichais-job-cut-offs-come-at-the-worst-time/"" ",Google Layoffs: Pichai's Job Cut-Offs Come at the Worst Time,Analytics Insight,"As per a Live Mint report, dated October 5, 2022, IT sector will slash 20% 
of campus and entry-level hiring for the financial year 2023-2024."
1,1 month ago,MSFT,"https://finance.yahoo.com/news/add-microsoft-corporation-msft-shares-144552067.html"" ",Should You Add Microsoft Corporation (MSFT) Shares to Your Portfolio?,Yahoo Finance,"Carillon Tower Advisers discussed stocks like Microsoft Corporation ... On 
October 5, 2022, Microsoft Corporation (NASDAQ:MSFT) stock closed..."
2,05-Oct-2022,MSFT,"https://www.nasdaq.com/articles/stock-market-news-for-oct-5-2022"" ","Stock Market News for Oct 5, 2022",Nasdaq,"Stock Market News for Oct 5, 2022 ... Consequently, shares of mega-cap 
growth stocks Amazon.com, Inc. AMZN and Microsoft Corporation MSFT..."
3,05-Oct-2022,MSFT,"https://seekingalpha.com/article/4544900-microsoft-estimate-and-multiple-reset-on-the-horizon"" ",Microsoft: Estimate And Multiple Reset On The Horizon ...,Seeking Alpha,"Microsoft stock is still trading at elevated levels when compared to 
historical valuation ... Xbox content, and search and news advertising."
4,05-Oct-2022,MSFT,"https://seekingalpha.com/news/3889062-brazils-antitrust-regulator-approves-microsofts-planned-purchase-of-activision"" ",Brazil's antitrust regulator approves Microsoft' purchase of ...,Seeking Alpha,"Brazil's antitrust regulator approves Microsoft's planned purchase of 
Activision. Oct. 05, 2022 9:44 PM ETMicrosoft Corporation (MSFT), 
ATVISONY,..."
5,05-Oct-2022,MSFT,"https://www.entrepreneur.com/finance/2-stocks-that-are-buys-near-their-52-week-lows/436650"" ",2 Stocks That Are Buys Near Their 52-Week Lows,Entrepreneur,"Therefore, fundamentally strong stocks Microsoft (MSFT)... By Riddhima 
Chakraborty. October 5, 2022. This story originally appeared on StockNews."
6,05-Oct-2022,MSFT,"https://www.moneycontrol.com/news/business/markets/multibaggers-these-9-stocks-have-given-triple-digit-returns-since-dussehra-2021-9281371.html"" ","Multibaggers | These 9 stocks have given triple-digit returns since 
Dussehra 2021",Moneycontrol,"Since Dussehra 2021, the Indian stock market has scaled not only record 
highs but also plumbed 52-week lows, with benchmark indices falling..."
7,04-Oct-2022,MSFT,"https://seekingalpha.com/article/4544677-salesforce-why-microsoft-shareholders-should-watch-out"" ",Salesforce: Why Microsoft Shareholders Should Watch Out ...,Seeking Alpha,"Historically, salesforce has acquired companies using a mixture of stock 
and cash, obviously, with shares much lower than they were last year,..."
8,29-Sept-2022,MSFT,"https://www.business-standard.com/article/technology/microsoft-to-discontinue-support-for-swiftkey-on-ios-devices-from-october-5-122092900279_1.html"" ",Microsoft to discontinue support for SwiftKey on iOS devices from October 5,Business Standard,"The app will be delisted from the App Store on October 5, 2022,"" Microsoft 
said in an update. For those customers who have SwiftKey..."
9,05-Oct-2022,MSFT,"https://finance.yahoo.com/news/zacks-analyst-blog-highlights-sony-133501894.html"" ","The Zacks Analyst Blog Highlights Sony, Microsoft, Nintendo and Electronic 
Arts",Yahoo Finance,"Chicago, IL – October 5, 2022 – Zacks.com announces the list of stocks 
featured in the Analyst Blog. Every day the Zacks Equity Research..."
0,05-Oct-2022,MSFT,"https://seekingalpha.com/article/4544900-microsoft-estimate-and-multiple-reset-on-the-horizon"" ",Microsoft: Estimate And Multiple Reset On The Horizon ...,Seeking Alpha,"Microsoft stock is still trading at elevated levels when compared to 
historical valuation ... Xbox content, and search and news advertising."
1,06-Oct-2022,MSFT,"https://www.moneycontrol.com/news/technology/microsoft-mulls-investment-in-indian-gaming-firm-zupee-9285281.html"" ",Microsoft mulls investment in Indian gaming firm Zupee,Moneycontrol,"The Redmond technology giant has held conversations with Zupee about a 
potential funding round · (Image Courtesy: Reuters) · Related stories."
2,06-Oct-2022,MSFT,"https://www.microsoft.com/en-us/security/blog/2022/10/06/microsoft-publishes-new-report-on-holistic-insider-risk-management/"" ",Microsoft publishes report on holistic insider risk management,Microsoft,"The report also shares best practices for organizations who endeavor ... 
Also, follow us at @MSFTSecurity for the latest news and updates on..."
3,06-Oct-2022,MSFT,"https://www.moneycontrol.com/news/companies-2/how-layoffs-in-tech-industry-is-good-news-for-india-9271641.html"" ",How layoffs in tech industry is good news for India,Moneycontrol,"The big tech giants, such as Google, Microsoft, Uber, Apple, Tesla, and 
even Meta, are facing tough times. Moneycontrol News. October 06, 2022 /..."
4,06-Oct-2022,MSFT,"https://seekingalpha.com/article/4545152-texas-instruments-and-microsoft-showing-investors-the-money"" ",Texas Instruments And Microsoft: Showing Investors The Money,Seeking Alpha,"MSFT and TXN recently both raised their dividends right on schedule. ... 
Traditionally, most tech stocks would want to keep reinvesting the..."
5,06-Oct-2022,MSFT,"https://www.moneycontrol.com/news/videos/business/markets/jsw-energy-atul-auto-sterlite-technologies-tata-steel-top-stocks-to-watch-on-oct-06-2022-9281091.html"" ","JSW Energy, Atul Auto, Sterlite Technologies &amp; Tata Steel: Top Stocks To 
Watch On Oct 06, 2022",Moneycontrol,"... Sterlite Technologies &amp; Tata Steel: Top Stocks To Watch On Oct 06, 2022 
... stocks from the Moneycontrol markets team and why they are in the news."
6,06-Oct-2022,MSFT,"https://in.investing.com/news/stock-market-today-dow-slips-ahead-of-jobs-data-as-fed-speakers-see-more-hikes-3368997"" ",Stock Market Today: Dow Slips Ahead of Jobs Data as Fed ...,Investing.com,"Tech stocks also faltered, with Microsoft Corporation (NASDAQ: MSFT ) ... 
however, will likely be interpreted as bad news for stocks as it..."
7,06-Oct-2022,MSFT,"https://www.moneycontrol.com/news/photos/business/stocks/stocks-to-watch-today-godrej-consumer-products-jubilant-foodworks-jsw-energy-and-others-in-news-today-9282271.html"" ","Stocks to Watch Today | Godrej Consumer Products, Jubilant FoodWorks, JSW 
Energy, and others in news today",Moneycontrol,"Stocks to Watch: Check out the companies making headlines before the 
opening bell. Moneycontrol News. October 06, 2022 / 06:53 AM IST."
8,05-Oct-2022,MSFT,"https://seekingalpha.com/news/3889062-brazils-antitrust-regulator-approves-microsofts-planned-purchase-of-activision"" ",Brazil's antitrust regulator approves Microsoft' purchase of ...,Seeking Alpha,"The Brazil news also comes after Dealreporter on Tuesday said a U.S. 
Federal Trade Commission decision on the deal may come as early as late..."
9,06-Oct-2022,MSFT,"https://www.moneycontrol.com/news/business/markets/share-market-live-updates-stock-market-today-october-6-latest-news-bse-nse-sensex-nifty-covid-coronavirus-jsw-energy-atul-auto-sterlite-technologies-tata-steel-godrej-consumer-jubilant-foodworks-trimu-9282781.html"" ","Closing Bell: Nifty ends above 17,300, Sensex gains 156 pts led by metal, 
realty, capital goods",Moneycontrol,"About 2302 shares have advanced, 1054 shares declined, and 126 shares are 
unchanged. JSW Steel, Hindalco Industries, Coal India, Tata Steel and..."
0,2 days ago,MSFT,"https://seekingalpha.com/article/4561217-activision-headwinds-for-china-to-approve-microsoft-acquisition"" ",Activision: Too Many Headwinds To Navigate For Microsoft ...,Seeking Alpha,"Microsoft has plans to acquire Activision Blizzard, ... But these decisions 
took place prior to an Oct. 7, 2022, escalation of sanctions..."
1,07-Oct-2022,MSFT,"https://seekingalpha.com/news/3889601-microsoft-named-a-new-short-idea-at-hedgeye"" ",Microsoft named a new short idea at Hedgeye (NASDAQ:MSFT),Seeking Alpha,"BUT when the market is going down and stocks are crashing and people are 
bailing, even the best companies are dropping. The mutual funds and..."
2,07-Oct-2022,MSFT,"https://www.fool.com/investing/2022/10/07/why-microsoft-fell-today/"" ",Why Microsoft Fell Today,The Motley Fool,"Shares of tech giant Microsoft (MSFT -0.18%) fell hard today, down some 
4.5% as of ... There was more not-so-great news on that front today,..."
3,05-Oct-2022,MSFT,"https://seekingalpha.com/article/4544900-microsoft-estimate-and-multiple-reset-on-the-horizon"" ",Microsoft: Estimate And Multiple Reset On The Horizon ...,Seeking Alpha,"Microsoft stock is still trading at elevated levels when compared to 
historical valuation ... Xbox content, and search and news advertising."
4,1 month ago,MSFT,"https://www.nasdaq.com/articles/4-stocks-to-watch-during-this-downtrend"" ",4 Stocks to Watch During This Downtrend,Nasdaq,"*Stock prices used were the after-market prices of Oct. 7, 2022. ... are 
the ten best stocks for investors to buy right now... and Microsoft..."
5,30-Sept-2022,MSFT,"https://in.investing.com/news/raymond-james-resumes-microsoft-at-outperform-sees-over-25-upside-432SI-3362733"" ","Raymond James Resumes Microsoft at Outperform, Sees ...",Investing.com,"(NYSE:CHWY) with an Outperform rating and a price target of $42.... Today's 
Stock Downgrades of Note By Investing.com - Oct 07, 2022..."
6,07-Oct-2022,MSFT,"https://www.nasdaq.com/articles/after-hours-most-active-for-oct-7-2022-:-wit-bac-qqq-aapl-auy-infy-t-msft-pltk-mir-btrs"" ","After Hours Most Active for Oct 7, 2022 : WIT, BAC, QQQ ...",Nasdaq,"After Hours Most Active for Oct 7, 2022 : WIT, BAC, QQQ, AAPL, AUY, INFY, 
T, MSFT, PLTK, MIR, BTRS, AMZN. October 07, 2022 — 04:29 pm EDT."
7,1 week ago,MSFT,"https://news.yahoo.com/gabrielle-union-shares-why-dwyane-235452473.html"" ","Gabrielle Union Shares Why Dwyane Wade Tattooed Her Initials And Not Her 
First Name",Yahoo News,"Gabrielle Union and Dwyane Wade pictured on Oct. 7, 2022, in New York."
8,07-Oct-2022,MSFT,"https://in.investing.com/news/sp-500-slips-as-strong-jobs-report-puts-hawkish-fed-bets-back-in-focus-3370272"" ",S&amp;P 500 Slips as Strong Jobs Report Puts Hawkish Fed Bets ...,Investing.com,"S&amp;P 500 Slips as Strong Jobs Report Puts Hawkish Fed Bets Back in Focus. 
Investing.com; Stock Market News; 2022-10-07 19:15. S&amp;P 500 Slips as Strong 
Jobs..."
9,1 month ago,MSFT,"https://www.reuters.com/markets/europe/futures-slip-escalating-ukraine-war-dip-chip-stocks-2022-10-10/"" ",Nasdaq registers lowest close since July 2020; chips stocks fall,Reuters,"Make sense of the market with highlights of the latest news and trends in 
global financial markets. Sign up. More from Reuters..."
0,2 days ago,MSFT,"https://seekingalpha.com/article/4561217-activision-headwinds-for-china-to-approve-microsoft-acquisition"" ",Activision: Too Many Headwinds To Navigate For Microsoft ...,Seeking Alpha,"Microsoft has plans to acquire Activision Blizzard, a leader in game ... On 
Oct. 8, 2022, following the latest round of sanctions,..."
1,05-Oct-2022,MSFT,"https://seekingalpha.com/article/4544900-microsoft-estimate-and-multiple-reset-on-the-horizon"" ",Microsoft: Estimate And Multiple Reset On The Horizon ...,Seeking Alpha,"Microsoft stock is still trading at elevated levels when compared to 
historical valuation ... Xbox content, and search and news advertising."
2,1 week ago,MSFT,"https://www.nasdaq.com/articles/auto-roundup:-borgwarner-wolfspeed-deal-tesla-recall-more"" ","Auto Roundup: BorgWarner-Wolfspeed Deal, Tesla Recall ...",Nasdaq,"On the news front, automotive equipment provider BorgWarner Inc. BWA ... of 
$2.84 per share for third-quarter 2022 (ended Oct 8, 2022),..."
3,07-Oct-2022,MSFT,"https://seekingalpha.com/news/3889601-microsoft-named-a-new-short-idea-at-hedgeye"" ",Microsoft named a new short idea at Hedgeye (NASDAQ:MSFT),Seeking Alpha,"BUT when the market is going down and stocks are crashing and people are 
bailing, even the best companies are dropping. The mutual funds and..."
4,1 month ago,MSFT,"https://www.moneycontrol.com/news/technology/the-tech-weekender-top-news-from-the-world-of-technology-this-week-44-9294731.html"" ",The Tech Weekender | Top news from the world of technology this week,Moneycontrol,"Moneycontrol News. October 08, 2022 / 12:17 PM IST. Twitter has finally 
rolled out the much-requested edit tweet feature that will enable users..."
5,1 month ago,MSFT,"https://www.fool.com/investing/2022/10/08/ai-stock-partner-to-amzn-msft-goog-is-it-a-buy/"" ","This AI Stock Is Down 93%, Yet It's Partnered With Amazon ...",The Motley Fool,"This AI Stock Is Down 93%, Yet It's Partnered With Amazon, Microsoft, and 
Alphabet. Is It a Buy? By Anthony Di Pizio – Oct 8, 2022 at 8:30AM..."
6,1 month ago,MSFT,"https://www.moneycontrol.com/news/business/markets/stock-market-today-top-10-things-to-know-before-the-market-opens-today-90-9300061.html"" ",Stock Market Today: Top 10 things to know before the market opens today,Moneycontrol,"We have collated a list of important headlines across news platforms ... 
came in at Rs 8.98 lakh crore between April 1 to October 8, 2022,..."
7,1 month ago,MSFT,"https://www.fool.com/investing/2022/10/08/3-dividend-paying-tech-stocks-to-buy-in-october/"" ",3 Dividend-Paying Tech Stocks to Buy In October,The Motley Fool,"3 Dividend-Paying Tech Stocks to Buy In October. By Jeremy Bowman – Oct 8, 
2022 at 6:34AM. Key Points. Microsoft continues to put up solid growth in..."
8,1 month ago,MSFT,"https://www.moneycontrol.com/news/business/markets/wall-st-week-ahead-stay-sidelined-or-scoop-up-stocks-investors-weigh-as-market-slides-9293851.html"" ",Wall St Week Ahead | Stay sidelined or scoop up stocks ...,Moneycontrol,"As markets have tumbled, wary investors have cut their stock holdings ... 
believes a lot of negative news is already priced in to markets,..."
9,26-Sept-2022,MSFT,"https://www.moneycontrol.com/news/photos/business/personal-finance/how-to-tame-volatility-these-low-volatility-index-stocks-may-throw-some-clues-9215921.html"" ",These low-volatility index stocks hold the ground when market goes wild,Moneycontrol,"Pharma shares have been trading weak. No wonder investors are more focused 
on shares that benefit from rising consumption, whose fortunes are..."
0,1 month ago,MSFT,"https://www.nasdaq.com/articles/weekly-preview%3A-earnings-to-watch-this-week-10-9-22-dal-jpm-pep-wfc"" ","Weekly Preview: Earnings to Watch This Week 10-9-22 (DAL, JPM, PEP, WFC)",Nasdaq,"A stronger-than-expected September jobs report, which revealed a surprise 
decline in the unemployment rate, sent stocks lower on Friday,..."
1,07-Oct-2022,MSFT,"https://seekingalpha.com/news/3889601-microsoft-named-a-new-short-idea-at-hedgeye"" ",Microsoft named a new short idea at Hedgeye (NASDAQ:MSFT),Seeking Alpha,"BUT when the market is going down and stocks are crashing and people are 
bailing, even the best companies are dropping. The mutual funds and..."
2,1 month ago,MSFT,"https://www.cnbc.com/2022/10/09/stock-futures-are-down-as-market-exits-rollercoaster-week.html"" ","Nasdaq closes at 2-year low on Monday, hurt by slumping chip stocks",CNBC,"The S&amp;P 500 also fell 0.75% to 3,612.39, dragged down by semi stocks and 
dips in major tech names like Microsoft , while the Dow Jones Industrial 
Average shed..."
3,1 month ago,MSFT,"https://www.moneycontrol.com/news/business/cryptocurrency/top-cryptocurrency-prices-today-october-9-bitcoin-ethereum-in-red-9297591.html"" ","Top Cryptocurrency Prices Today October 9: Bitcoin, Ethereum in red",Moneycontrol,"In other news, the non-fungible token (NFT) market is in a shambles these 
days. The market plunged 97 percent from its peak of $17 billion..."
